new_idx,new_file,new_instance_id,source_buffer,source_local_idx,old_file,old_instance_id,instance_type,time_window_type,global_value
16,solomon_dataset_16_C_wide_1777582045.txt,solomon_dataset_16_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,16,solomon_dataset_16_C_wide_1777247658.txt,solomon_dataset_16_C_wide_1777247658,C,wide,750.1972803346188
17,solomon_dataset_17_C_narrow_1777582045.txt,solomon_dataset_17_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,17,solomon_dataset_17_C_narrow_1777247658.txt,solomon_dataset_17_C_narrow_1777247658,C,narrow,953.9831096037731
18,solomon_dataset_18_C_wide_1777582045.txt,solomon_dataset_18_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,18,solomon_dataset_18_C_wide_1777247658.txt,solomon_dataset_18_C_wide_1777247658,C,wide,741.4018563032494
19,solomon_dataset_19_C_wide_1777582045.txt,solomon_dataset_19_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,19,solomon_dataset_19_C_wide_1777247658.txt,solomon_dataset_19_C_wide_1777247658,C,wide,734.2781466857709
20,solomon_dataset_20_RC_wide_1777582045.txt,solomon_dataset_20_RC_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,20,solomon_dataset_20_RC_wide_1777247658.txt,solomon_dataset_20_RC_wide_1777247658,RC,wide,812.1984783418161
21,solomon_dataset_21_R_wide_1777582045.txt,solomon_dataset_21_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,21,solomon_dataset_21_R_wide_1777247658.txt,solomon_dataset_21_R_wide_1777247658,R,wide,1027.6490186463361
22,solomon_dataset_22_R_narrow_1777582045.txt,solomon_dataset_22_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,22,solomon_dataset_22_R_narrow_1777247658.txt,solomon_dataset_22_R_narrow_1777247658,R,narrow,1369.1113024393724
23,solomon_dataset_23_R_narrow_1777582045.txt,solomon_dataset_23_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,23,solomon_dataset_23_R_narrow_1777247658.txt,solomon_dataset_23_R_narrow_1777247658,R,narrow,1573.4703258548795
24,solomon_dataset_24_R_narrow_1777582045.txt,solomon_dataset_24_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,24,solomon_dataset_24_R_narrow_1777247658.txt,solomon_dataset_24_R_narrow_1777247658,R,narrow,1475.9664242059216
25,solomon_dataset_25_C_narrow_1777582045.txt,solomon_dataset_25_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,25,solomon_dataset_25_C_narrow_1777247658.txt,solomon_dataset_25_C_narrow_1777247658,C,narrow,607.885208939865
26,solomon_dataset_26_R_narrow_1777582045.txt,solomon_dataset_26_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,26,solomon_dataset_26_R_narrow_1777247658.txt,solomon_dataset_26_R_narrow_1777247658,R,narrow,1261.2955028344957
27,solomon_dataset_27_RC_wide_1777582045.txt,solomon_dataset_27_RC_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,27,solomon_dataset_27_RC_wide_1777247658.txt,solomon_dataset_27_RC_wide_1777247658,RC,wide,1021.521260634386
28,solomon_dataset_28_RC_wide_1777582045.txt,solomon_dataset_28_RC_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,28,solomon_dataset_28_RC_wide_1777247658.txt,solomon_dataset_28_RC_wide_1777247658,RC,wide,880.8299485282623
29,solomon_dataset_29_RC_wide_1777582045.txt,solomon_dataset_29_RC_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,29,solomon_dataset_29_RC_wide_1777247658.txt,solomon_dataset_29_RC_wide_1777247658,RC,wide,1010.3422936680595
30,solomon_dataset_30_RC_narrow_1777582045.txt,solomon_dataset_30_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,30,solomon_dataset_30_RC_narrow_1777247658.txt,solomon_dataset_30_RC_narrow_1777247658,RC,narrow,1136.6541251252174
31,solomon_dataset_31_C_wide_1777582045.txt,solomon_dataset_31_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,31,solomon_dataset_31_C_wide_1777247658.txt,solomon_dataset_31_C_wide_1777247658,C,wide,655.7341312588148
32,solomon_dataset_32_RC_narrow_1777582045.txt,solomon_dataset_32_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,32,solomon_dataset_32_RC_narrow_1777247658.txt,solomon_dataset_32_RC_narrow_1777247658,RC,narrow,1142.4653786830797
33,solomon_dataset_33_C_narrow_1777582045.txt,solomon_dataset_33_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,33,solomon_dataset_33_C_narrow_1777247658.txt,solomon_dataset_33_C_narrow_1777247658,C,narrow,675.6794928272736
34,solomon_dataset_34_RC_narrow_1777582045.txt,solomon_dataset_34_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,34,solomon_dataset_34_RC_narrow_1777247658.txt,solomon_dataset_34_RC_narrow_1777247658,RC,narrow,1415.0353952161765
35,solomon_dataset_35_C_narrow_1777582045.txt,solomon_dataset_35_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,35,solomon_dataset_35_C_narrow_1777247658.txt,solomon_dataset_35_C_narrow_1777247658,C,narrow,796.1261843259092
36,solomon_dataset_36_C_narrow_1777582045.txt,solomon_dataset_36_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,36,solomon_dataset_36_C_narrow_1777247658.txt,solomon_dataset_36_C_narrow_1777247658,C,narrow,706.5571831617067
37,solomon_dataset_37_R_wide_1777582045.txt,solomon_dataset_37_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,37,solomon_dataset_37_R_wide_1777247658.txt,solomon_dataset_37_R_wide_1777247658,R,wide,1065.6901954431341
38,solomon_dataset_38_R_wide_1777582045.txt,solomon_dataset_38_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,38,solomon_dataset_38_R_wide_1777247658.txt,solomon_dataset_38_R_wide_1777247658,R,wide,1059.8178317901688
39,solomon_dataset_39_C_narrow_1777582045.txt,solomon_dataset_39_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,39,solomon_dataset_39_C_narrow_1777247658.txt,solomon_dataset_39_C_narrow_1777247658,C,narrow,612.4479401114911
40,solomon_dataset_40_C_wide_1777582045.txt,solomon_dataset_40_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,40,solomon_dataset_40_C_wide_1777247658.txt,solomon_dataset_40_C_wide_1777247658,C,wide,803.174398539092
41,solomon_dataset_41_R_wide_1777582045.txt,solomon_dataset_41_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,41,solomon_dataset_41_R_wide_1777247658.txt,solomon_dataset_41_R_wide_1777247658,R,wide,916.5224428101264
42,solomon_dataset_42_R_wide_1777582045.txt,solomon_dataset_42_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,42,solomon_dataset_42_R_wide_1777247658.txt,solomon_dataset_42_R_wide_1777247658,R,wide,1079.2118302235076
43,solomon_dataset_43_R_narrow_1777582045.txt,solomon_dataset_43_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,43,solomon_dataset_43_R_narrow_1777247658.txt,solomon_dataset_43_R_narrow_1777247658,R,narrow,1446.7580342624542
44,solomon_dataset_44_R_narrow_1777582045.txt,solomon_dataset_44_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,44,solomon_dataset_44_R_narrow_1777247658.txt,solomon_dataset_44_R_narrow_1777247658,R,narrow,1230.8908018215939
45,solomon_dataset_45_C_narrow_1777582045.txt,solomon_dataset_45_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,45,solomon_dataset_45_C_narrow_1777247658.txt,solomon_dataset_45_C_narrow_1777247658,C,narrow,533.1957592978079
46,solomon_dataset_46_C_narrow_1777582045.txt,solomon_dataset_46_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,46,solomon_dataset_46_C_narrow_1777247658.txt,solomon_dataset_46_C_narrow_1777247658,C,narrow,826.8224646054279
47,solomon_dataset_47_RC_narrow_1777582045.txt,solomon_dataset_47_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,47,solomon_dataset_47_RC_narrow_1777247658.txt,solomon_dataset_47_RC_narrow_1777247658,RC,narrow,907.761444556731
48,solomon_dataset_48_RC_wide_1777582045.txt,solomon_dataset_48_RC_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,48,solomon_dataset_48_RC_wide_1777247658.txt,solomon_dataset_48_RC_wide_1777247658,RC,wide,889.8767194984531
49,solomon_dataset_49_C_narrow_1777582045.txt,solomon_dataset_49_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,49,solomon_dataset_49_C_narrow_1777247658.txt,solomon_dataset_49_C_narrow_1777247658,C,narrow,707.5138014475723
50,solomon_dataset_50_C_wide_1777582045.txt,solomon_dataset_50_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,50,solomon_dataset_50_C_wide_1777247658.txt,solomon_dataset_50_C_wide_1777247658,C,wide,469.99142637954475
51,solomon_dataset_51_RC_narrow_1777582045.txt,solomon_dataset_51_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,51,solomon_dataset_51_RC_narrow_1777247658.txt,solomon_dataset_51_RC_narrow_1777247658,RC,narrow,1216.2133892373495
52,solomon_dataset_52_RC_narrow_1777582045.txt,solomon_dataset_52_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,52,solomon_dataset_52_RC_narrow_1777247658.txt,solomon_dataset_52_RC_narrow_1777247658,RC,narrow,1084.0130949375673
53,solomon_dataset_53_R_wide_1777582045.txt,solomon_dataset_53_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,53,solomon_dataset_53_R_wide_1777247658.txt,solomon_dataset_53_R_wide_1777247658,R,wide,1112.978730243578
54,solomon_dataset_54_C_wide_1777582045.txt,solomon_dataset_54_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,54,solomon_dataset_54_C_wide_1777247658.txt,solomon_dataset_54_C_wide_1777247658,C,wide,678.0085895959201
55,solomon_dataset_55_R_wide_1777582045.txt,solomon_dataset_55_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,55,solomon_dataset_55_R_wide_1777247658.txt,solomon_dataset_55_R_wide_1777247658,R,wide,1088.038836470459
56,solomon_dataset_56_R_wide_1777582045.txt,solomon_dataset_56_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,56,solomon_dataset_56_R_wide_1777247658.txt,solomon_dataset_56_R_wide_1777247658,R,wide,1052.9846040232335
57,solomon_dataset_57_RC_narrow_1777582045.txt,solomon_dataset_57_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,57,solomon_dataset_57_RC_narrow_1777247658.txt,solomon_dataset_57_RC_narrow_1777247658,RC,narrow,1118.4481810884317
58,solomon_dataset_58_C_wide_1777582045.txt,solomon_dataset_58_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,58,solomon_dataset_58_C_wide_1777247658.txt,solomon_dataset_58_C_wide_1777247658,C,wide,737.0860601101468
59,solomon_dataset_59_RC_wide_1777582045.txt,solomon_dataset_59_RC_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,59,solomon_dataset_59_RC_wide_1777247658.txt,solomon_dataset_59_RC_wide_1777247658,RC,wide,886.7490980844786
60,solomon_dataset_60_RC_narrow_1777582045.txt,solomon_dataset_60_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,60,solomon_dataset_60_RC_narrow_1777247658.txt,solomon_dataset_60_RC_narrow_1777247658,RC,narrow,1058.0262166897621
61,solomon_dataset_61_C_narrow_1777582045.txt,solomon_dataset_61_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,61,solomon_dataset_61_C_narrow_1777247658.txt,solomon_dataset_61_C_narrow_1777247658,C,narrow,890.4496206560407
62,solomon_dataset_62_R_wide_1777582045.txt,solomon_dataset_62_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,62,solomon_dataset_62_R_wide_1777247658.txt,solomon_dataset_62_R_wide_1777247658,R,wide,976.7626232862411
63,solomon_dataset_63_R_wide_1777582045.txt,solomon_dataset_63_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,63,solomon_dataset_63_R_wide_1777247658.txt,solomon_dataset_63_R_wide_1777247658,R,wide,1124.8503797404462
64,solomon_dataset_64_C_wide_1777582045.txt,solomon_dataset_64_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,64,solomon_dataset_64_C_wide_1777247658.txt,solomon_dataset_64_C_wide_1777247658,C,wide,844.0979792262663
65,solomon_dataset_65_R_narrow_1777582045.txt,solomon_dataset_65_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,65,solomon_dataset_65_R_narrow_1777247658.txt,solomon_dataset_65_R_narrow_1777247658,R,narrow,1375.0760586775239
66,solomon_dataset_66_C_wide_1777582045.txt,solomon_dataset_66_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,66,solomon_dataset_66_C_wide_1777247658.txt,solomon_dataset_66_C_wide_1777247658,C,wide,475.3800595674031
67,solomon_dataset_67_R_wide_1777582045.txt,solomon_dataset_67_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,67,solomon_dataset_67_R_wide_1777247658.txt,solomon_dataset_67_R_wide_1777247658,R,wide,1073.185405107532
68,solomon_dataset_68_R_wide_1777582045.txt,solomon_dataset_68_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,68,solomon_dataset_68_R_wide_1777247658.txt,solomon_dataset_68_R_wide_1777247658,R,wide,908.2792163017835
69,solomon_dataset_69_R_narrow_1777582045.txt,solomon_dataset_69_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,69,solomon_dataset_69_R_narrow_1777247658.txt,solomon_dataset_69_R_narrow_1777247658,R,narrow,1365.669469844671
70,solomon_dataset_70_R_narrow_1777582045.txt,solomon_dataset_70_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,70,solomon_dataset_70_R_narrow_1777247658.txt,solomon_dataset_70_R_narrow_1777247658,R,narrow,1251.9468638776757
71,solomon_dataset_71_R_narrow_1777582045.txt,solomon_dataset_71_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,71,solomon_dataset_71_R_narrow_1777247658.txt,solomon_dataset_71_R_narrow_1777247658,R,narrow,1307.5066294737223
72,solomon_dataset_72_R_wide_1777582045.txt,solomon_dataset_72_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,72,solomon_dataset_72_R_wide_1777247658.txt,solomon_dataset_72_R_wide_1777247658,R,wide,942.1064914785957
73,solomon_dataset_73_C_wide_1777582045.txt,solomon_dataset_73_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,73,solomon_dataset_73_C_wide_1777247658.txt,solomon_dataset_73_C_wide_1777247658,C,wide,433.2307215073029
74,solomon_dataset_74_R_wide_1777582045.txt,solomon_dataset_74_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,74,solomon_dataset_74_R_wide_1777247658.txt,solomon_dataset_74_R_wide_1777247658,R,wide,1196.8768301109233
75,solomon_dataset_75_C_narrow_1777582045.txt,solomon_dataset_75_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,75,solomon_dataset_75_C_narrow_1777247658.txt,solomon_dataset_75_C_narrow_1777247658,C,narrow,835.3711495757424
76,solomon_dataset_76_RC_narrow_1777582045.txt,solomon_dataset_76_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,76,solomon_dataset_76_RC_narrow_1777247658.txt,solomon_dataset_76_RC_narrow_1777247658,RC,narrow,1098.02151200969
77,solomon_dataset_77_R_wide_1777582045.txt,solomon_dataset_77_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,77,solomon_dataset_77_R_wide_1777247658.txt,solomon_dataset_77_R_wide_1777247658,R,wide,918.7791058291764
78,solomon_dataset_78_R_narrow_1777582045.txt,solomon_dataset_78_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,78,solomon_dataset_78_R_narrow_1777247658.txt,solomon_dataset_78_R_narrow_1777247658,R,narrow,1524.8639333946296
79,solomon_dataset_79_C_wide_1777582045.txt,solomon_dataset_79_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,79,solomon_dataset_79_C_wide_1777247658.txt,solomon_dataset_79_C_wide_1777247658,C,wide,481.5039833029012
80,solomon_dataset_80_C_narrow_1777582045.txt,solomon_dataset_80_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,80,solomon_dataset_80_C_narrow_1777247658.txt,solomon_dataset_80_C_narrow_1777247658,C,narrow,1061.0391657224866
81,solomon_dataset_81_R_wide_1777582045.txt,solomon_dataset_81_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,81,solomon_dataset_81_R_wide_1777247658.txt,solomon_dataset_81_R_wide_1777247658,R,wide,1031.9462925659104
82,solomon_dataset_82_RC_narrow_1777582045.txt,solomon_dataset_82_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,82,solomon_dataset_82_RC_narrow_1777247658.txt,solomon_dataset_82_RC_narrow_1777247658,RC,narrow,1032.1602303807272
83,solomon_dataset_83_C_wide_1777582045.txt,solomon_dataset_83_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,83,solomon_dataset_83_C_wide_1777247658.txt,solomon_dataset_83_C_wide_1777247658,C,wide,824.1896020239006
84,solomon_dataset_84_C_wide_1777582045.txt,solomon_dataset_84_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,84,solomon_dataset_84_C_wide_1777247658.txt,solomon_dataset_84_C_wide_1777247658,C,wide,439.2740960832851
85,solomon_dataset_85_C_narrow_1777582045.txt,solomon_dataset_85_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,85,solomon_dataset_85_C_narrow_1777247658.txt,solomon_dataset_85_C_narrow_1777247658,C,narrow,803.5082698440517
86,solomon_dataset_86_C_narrow_1777582045.txt,solomon_dataset_86_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,86,solomon_dataset_86_C_narrow_1777247658.txt,solomon_dataset_86_C_narrow_1777247658,C,narrow,683.0380079428437
